date,n_active,turn_bps,ret,nav
2024-01-03,0,0.0,0.0,1.0
2024-01-04,0,0.0,0.0,1.0
2024-01-05,0,0.0,0.0,1.0
2024-01-08,0,0.0,0.0,1.0
2024-01-09,0,0.0,0.0,1.0
2024-01-10,0,0.0,0.0,1.0
2024-01-11,0,0.0,0.0,1.0
2024-01-12,0,0.0,0.0,1.0
2024-01-15,0,0.0,0.0,1.0
2024-01-16,0,0.0,0.0,1.0
2024-01-17,0,0.0,0.0,1.0
2024-01-18,0,0.0,0.0,1.0
2024-01-19,0,0.0,0.0,1.0
2024-01-22,0,0.0,0.0,1.0
2024-01-23,0,0.0,0.0,1.0
2024-01-24,0,0.0,0.0,1.0
2024-01-25,0,0.0,0.0,1.0
2024-01-26,0,0.0,0.0,1.0
2024-01-29,0,0.0,0.0,1.0
2024-01-30,0,0.0,0.0,1.0
2024-01-31,0,0.0,0.0,1.0
2024-02-01,0,0.0,0.0,1.0
2024-02-02,0,0.0,0.0,1.0
2024-02-05,0,0.0,0.0,1.0
2024-02-06,0,0.0,0.0,1.0
2024-02-07,0,0.0,0.0,1.0
2024-02-08,0,0.0,0.0,1.0
2024-02-19,0,0.0,0.0,1.0
2024-02-20,0,0.0,0.0,1.0
2024-02-21,0,0.0,0.0,1.0
2024-02-22,0,0.0,0.0,1.0
2024-02-23,0,0.0,0.0,1.0
2024-02-26,0,0.0,0.0,1.0
2024-02-27,0,0.0,0.0,1.0
2024-02-28,0,0.0,0.0,1.0
2024-02-29,0,0.0,0.0,1.0
2024-03-01,0,0.0,0.0,1.0
2024-03-04,0,0.0,0.0,1.0
2024-03-05,0,0.0,0.0,1.0
2024-03-06,0,0.0,0.0,1.0
2024-03-07,0,0.0,0.0,1.0
2024-03-08,0,0.0,0.0,1.0
2024-03-11,0,0.0,0.0,1.0
2024-03-12,0,0.0,0.0,1.0
2024-03-13,0,0.0,0.0,1.0
2024-03-14,0,0.0,0.0,1.0
2024-03-15,1,10000.0,-0.014415401907967076,0.9855845980920329
2024-03-18,1,0.0,0.01428387739429815,0.9996625676528881
2024-03-19,2,10000.0,-0.011469623889139316,0.9881968139858581
2024-03-20,2,0.0,-0.03492458013061972,0.9536844551709859
2024-03-21,2,294.4364772302749,-0.03595351823971791,0.9193961437170604
2024-03-22,2,848.8736696555932,0.010668524301740171,0.929204743819232
2024-03-25,2,422.2566072775255,0.01729638638458811,0.9452766280987216
2024-03-26,2,388.138912313746,0.0073769600781603125,0.9522498960470239
2024-03-27,3,8954.376836158626,-0.000535343321599263,0.9517401154246816
2024-03-28,3,0.0,-0.002280717094041873,0.9495694654743472
2024-03-29,2,9043.363149425808,0.027316060352392802,0.9755079623020337
2024-04-01,2,0.0,-0.006613006557341206,0.9690569217505919
2024-04-02,3,8513.949351927515,0.007179615912428713,0.9760143782460415
2024-04-03,3,0.0,-0.005615064055863206,0.9705339949927465
2024-04-08,2,9260.494310875742,0.0018036573219009878,0.972284505738969
2024-04-09,2,0.0,0.009263004269660868,0.9812907812669541
2024-04-10,2,0.0,-0.010371855653624085,0.9711129749294213
2024-04-11,1,9414.138692522622,-0.009319765240789193,0.9620624299807947
2024-04-12,2,9999.999999999998,0.006788721419204584,0.9685936038058174
2024-04-15,2,0.0,-0.010279505469517503,0.9586369405577558
2024-04-16,4,10451.159707625719,-0.0048522573939655915,0.953985387374806
2024-04-17,4,113.04345947302619,0.008503024431943096,0.9620971484313706
2024-04-18,4,111.5408204585433,0.002321365898787098,0.9643305279430595
2024-04-19,4,116.99925890965496,-0.010090154904940661,0.9546002835365508
2024-04-22,4,0.0,0.004475341532109711,0.9588724458320256
2024-04-23,4,151.29675411133303,0.004853789252001946,0.9635266106036459
2024-04-24,3,4610.592246069063,-0.0021440550547405885,0.961460756503804
2024-04-25,3,0.0,0.0033915725767721394,0.964721620439205
2024-04-26,3,0.0,-0.0016761743720086208,0.9631045787829021
2024-04-29,3,0.0,0.008732915848886469,0.9715152900230904
2024-04-30,2,7878.432317105133,-0.007162817433412249,0.9645565033668865
2024-05-06,3,8051.037801293961,-0.034982677891284064,0.9308137339016594
2024-05-07,3,912.5267873483779,-0.01727748187553865,0.914731616484671
2024-05-08,3,375.3616802523482,-0.006204802689602498,0.9090558872904425
2024-05-09,3,242.45873740824166,0.004327146897245176,0.9129895056525539
2024-05-10,3,333.00193522714375,-0.0018832259042699485,0.9112701401651824
2024-05-13,3,101.2933619317874,-0.000251521247762718,0.9110409363624791
2024-05-14,3,0.0,-0.0007640295614644854,0.9103448741553939
2024-05-15,2,7036.047237529718,0.02283121990092825,0.9311291581629185
2024-05-16,2,0.0,0.0037558642183384006,0.9346263528507142
2024-05-17,2,0.0,0.006079129568276942,0.9403080675476198
2024-05-20,1,20000.0,0.012654758601096962,0.9522074391530989
2024-05-21,1,0.0,0.004411231363401491,0.9564078464731552
2024-05-22,1,0.0,0.03674013623318073,0.9915464010470619
2024-05-23,1,0.0,0.010471759551954118,1.0019296365434323
2024-05-24,1,0.0,-0.006777352098541689,0.9951392066186135
2024-05-27,2,9999.999999999998,0.026725959897061027,1.0217352571466958
2024-05-28,2,0.0,-0.00924848396338418,1.0122857550061504
2024-05-29,2,0.0,0.00042107871834207167,1.0127120069944644
2024-05-30,2,0.0,0.02436834624845363,1.0373901238308718
2024-05-31,2,0.0,0.010328256214943599,1.048104554824649
2024-06-03,1,9999.999999999998,0.009415757708886086,1.0579732533664579
2024-06-04,1,0.0,-0.008844216799867466,1.0486163085452238
2024-06-05,1,0.0,0.002162775382988258,1.0508842300835455
2024-06-06,1,0.0,0.006989544206125187,1.0582294318652343
2024-06-07,1,0.0,-0.01253424549656279,1.0449653243745474
2024-06-11,1,0.0,0.016682546102662288,1.0623980065741092
2024-06-12,0,0.0,0.0,1.0623980065741092
2024-06-13,0,0.0,0.0,1.0623980065741092
2024-06-14,0,0.0,0.0,1.0623980065741092
2024-06-17,0,0.0,0.0,1.0623980065741092
2024-06-18,1,10000.0,0.003215937006070162,1.0658146116386262
2024-06-19,1,0.0,-0.0026709371194023612,1.0629678878299993
2024-06-20,1,0.0,-0.004828854972847463,1.0578349700588743
2024-06-21,1,0.0,-0.005118665356763308,1.052420266844461
2024-06-24,1,0.0,-0.005064551468207834,1.0470902302368423
2024-06-25,1,0.0,0.004130213371588587,1.0514149363070262
2024-06-26,2,12593.927196342147,0.0016911946506965741,1.053193083622971
2024-06-27,2,0.0,0.0016538970937800546,1.0549349566031643
2024-06-28,3,8388.12648592386,-0.03513213115577227,1.017872843346973
2024-07-01,3,0.0,-0.001877109968134727,1.0159621840864328
2024-07-02,3,492.6571098560198,0.009852901489685867,1.0259723594034824
2024-07-03,3,108.82800725929897,-0.0025230848446183883,1.023383744092474
2024-07-04,3,241.1693391310203,-0.012876756427537338,1.010205880887894
2024-07-05,3,270.14486323027484,-0.004114460633830112,1.006049428558917
2024-07-08,3,405.35875480392866,-0.017146691458692208,0.9887990094152237
2024-07-09,2,7622.275949974671,0.011626720293978779,1.0002954989246577
2024-07-10,2,0.0,-0.006202315577592432,0.9940913505694817
2024-07-11,2,0.0,0.009180736865861183,1.0032178416796886
2024-07-12,2,0.0,0.003008721843674289,1.0062362451139142
2024-07-15,2,0.0,-0.0056288705001845685,1.000572271597576
2024-07-16,2,0.0,-0.0045910347358134596,0.9959786095429798
2024-07-17,2,0.0,0.0027105793665838096,0.9986782886115658
2024-07-18,3,7062.700258727375,-0.003408308271689415,0.9952744851397345
2024-07-19,3,0.0,0.0031873317793194023,0.9984467551353661
2024-07-22,3,133.99585440069194,-0.0022505139069525153,0.9961997368275823
2024-07-23,2,6023.939449768967,-0.0035252153847016993,0.992687918189082
2024-07-24,1,9999.999999999998,-0.008021287402142831,0.9847252830966525
2024-07-25,2,9999.999999999998,-0.0017252369664949435,0.983026398636412
2024-07-26,2,0.0,0.014384615074563678,0.9971668549889313
2024-07-29,2,0.0,-0.006941310394485423,0.9902452103333603
2024-07-30,2,0.0,0.0021923262515486375,0.9924161509034445
2024-07-31,3,7466.185189559109,0.020572787166906817,1.0128329171569819
2024-08-01,3,0.0,-0.006133568522815103,1.0066206370574369
2024-08-02,3,0.0,-0.0020293543159203287,1.00457784712313
2024-08-05,3,0.0,-0.000602749363199151,1.0039723384654924
2024-08-06,3,0.0,-0.007913241366477197,0.9960276630259484
2024-08-07,3,0.0,0.005831956637599944,1.0018364531665658
2024-08-08,3,0.0,0.0005083855122507419,1.0023457723050004
2024-08-09,3,0.0,0.008385610002134003,1.010751053038838
2024-08-12,3,0.0,-0.003591755427082788,1.007120682458656
2024-08-13,2,7466.185189559109,0.004344386257022608,1.0114960037106928
2024-08-14,1,9999.999999999998,-0.012973302597217613,0.9983735599786776
2024-08-15,1,0.0,0.02972497776528904,1.0280501918504963
2024-08-16,1,0.0,0.0025091463883315512,1.0306297202764014
2024-08-19,1,0.0,-0.00025415843485443457,1.0303677770397814
2024-08-20,2,9999.999999999998,0.0020483014932284166,1.0324782808960664
2024-08-21,2,0.0,0.0006429966422254463,1.0331421609638534
2024-08-22,2,0.0,-0.008167305624374177,1.0247041731818352
2024-08-23,3,8165.736681106657,-5.917561686887571e-05,1.024643535680279
2024-08-26,3,0.0,0.023997434834527542,1.0492323521563864
